NFR19,SNAP,Source,Activity
2A4d,3,Other emissive applications of  Sodium Bicarbonate,Sodium Bicarbonate
2A4d,3,Power stations - FGD,Gypsum produced
2A4d,3,Unknown applications of Sodium Bicarbonate,Sodium Bicarbonate
2A5a,4,Dewatering of lead concentrates,Lead mined
2A5a,4,Quarrying,Aggregates
2A5b,4,Construction of apartment buildings,Construction
2A5b,4,Construction of houses,Construction
2A5b,4,Non-residential construction,Construction
2A5b,4,Road construction,Construction
2A6,4,Brick manufacture - Fletton,Fletton bricks
2A6,4,Brick manufacture - non Fletton,Non-Fletton bricks
2A6,4,Cement and concrete batching,Process emission
2A6,4,Glazed ceramics,Ceramics production
2A6,4,Refractories - chromite based,Refractory production
2A6,4,Refractories - non chromite based,Refractory production
2A6,4,Unglazed ceramics,Ceramics production
2B1,4,Ammonia production - combustion,Natural gas
2B1,4,Ammonia production - feedstock use of gas,Natural gas
2B10,4,Chemical industry - general,Process emission
2B10a,4,Chemical industry - alkyl lead,Process emission
2B10a,4,Chemical industry - ammonia based fertilizer,Ammonium nitrate
2B10a,4,Chemical industry - ammonia based fertilizer,Non-fuel fertilizer
2B10a,4,Chemical industry - ammonia use,Process emission
2B10a,4,Chemical industry - cadmium pigments and stabilizers,Non-fuel combustion
2B10a,4,Chemical industry - carbon black,Carbon black capacity
2B10a,4,Chemical industry - chloralkali process,Chlorine capacity
2B10a,4,Chemical industry - chromium chemicals,Process emission
2B10a,4,Chemical industry - general,Chemicals and manmade fibres
2B10a,4,Chemical industry - magnesia,Magnesia production
2B10a,4,Chemical industry - nitric acid use,Chemicals and manmade fibres
2B10a,4,Chemical industry - phosphate based fertilizers,Phosphate rock imports
2B10a,4,Chemical industry - pigment manufacture,Process emission
2B10a,4,Chemical industry - reforming,Chemicals and manmade fibres
2B10a,4,Chemical industry - sulphuric acid use,Chemicals and manmade fibres
2B10a,4,Coal tar and bitumen processes,Process emission
2B10a,4,Solvent and oil recovery,Process emission
2B10a,4,Sulphuric acid production,Acid production
2B10b,4,Ship purging,Process emission
2B2,4,Nitric acid production,Acid production
2B3,4,Adipic acid production,Adipic acid produced
2B6,4,Chemical industry - titanium dioxide,Coke
2B6,4,Chemical industry - titanium dioxide,Petroleum coke
2B6,4,Chemical industry - titanium dioxide,Titanium dioxide
2B7,4,Chemical industry - soda ash,Soda ash
2B7,4,Chemical industry - soda ash,Soda ash produced
2B8a,4,Chemical industry - methanol,Methanol
2B8a,4,Chemical industry - methanol,Natural gas
2B8a,4,Methanol production – combustion,Natural gas
2B8b,4,Chemical industry - ethylene,Ethylene
2B8c,4,Chemical Industry - ethylene dichloride,Ethylene dichloride
2B8d,4,Chemical industry - ethylene oxide,Ethylene oxide
2B8e,4,Chemical industry - acrylonitrile,Acrylonitrile
2B8f,4,Chemical industry - carbon black,Carbon black capacity
2B8g,4,Chemicals (combustion),OPG
2C1,4,Basic oxygen furnaces,Steel production (oxygen converters)
2C1,4,Blast furnaces,Iron production (blast furnace)
2C1,4,Cold rolling of steel,Rolled steel products
2C1,4,Electric arc furnaces,Steel production (electric arc)
2C1,4,Hot rolling of steel,Rolled steel products
2C1,4,Integrated steelworks - other processes,Iron production (blast furnace)
2C1,4,Integrated steelworks - stockpiles,Iron production
2C1,4,Iron and steel - flaring,Blast furnace gas
2C1,4,Sinter production,Iron production
2C1a,4,Basic oxygen furnaces,Dolomite
2C1a,4,Electric arc furnaces,Petroleum coke
2C1a,4,Electric arc furnaces,Steel production (electric arc)
2C1a,4,Ladle arc furnaces,Steel production (electric arc)
2C1a,4,Ladle arc furnaces,Steel production (oxygen converters)
2C1b,4,Iron and steel - flaring,Blast furnace gas
2C1d,4,Sinter production,Coke
2C1d,4,Sinter production,Dolomite
2C1d,4,Sinter production,Limestone
2C3,4,Alumina production,Primary aluminium production
2C3,4,Primary aluminium production - anode baking,Process emission
2C3,4,Primary aluminium production - general,Primary aluminium production
2C3,4,Secondary aluminium production,Secondary aluminium production
2C3a,4,Primary aluminium production - general,Primary aluminium production
2C5,4,Lead battery manufacture,Process emission
2C5,4,Secondary lead production,Refined secondary lead
2C6,4,Non-ferrous metal processes,Coke
2C6,4,Primary lead/zinc production,Slab zinc and lead bullion produced
2C6,4,Zinc alloy and semis production,Zinc consumption
2C6,4,Zinc oxide production,Process emission
2C7a,4,Copper alloy and semis production,Copper consumption
2C7a,4,Secondary copper production,Refined copper
2C7b,4,Nickel production,Nickel production
2C7c,4,Foundries,Castings
2C7c,4,Other non-ferrous metal processes,Index of output (basic metals)
2D1,6,Agricultural engines,Lubricants
2D1,6,Industrial engines,Lubricants
2D1,6,Marine engines,Lubricants
2D1,6,Road vehicle engines,Lubricants
2D2,6,Non-aerosol products - household products,Petroleum waxes
2D3,6,Non Energy Use: petroleum coke,Petroleum coke
2D3,6,Road transport - urea,Urea consumption
2D3a,6,Aerosols - carcare products,Aerosols
2D3a,6,Aerosols - cosmetics and toiletries,Aerosols
2D3a,6,Aerosols - household products,Aerosols
2D3a,6,Agriculture - agrochemicals use,Agrochemical active ingredient
2D3a,6,Non-aerosol products - automotive products,Carcare products
2D3a,6,Non-aerosol products - cosmetics and toiletries,Cosmetics and toiletries
2D3a,6,Non-aerosol products - domestic adhesives,Adhesives and sealants
2D3a,6,Non-aerosol products - household products,Household products
2D3a,6,Non-aerosol products - household products,Non-fuel domestic
2D3a,6,Non-aerosol products - paint thinner,Population
2D3b,4,Other industry - asphalt manufacture,Asphalt produced
2D3b,4,"Road dressings, bitumen",Non fuel bitumen use
2D3b,4,"Road dressings, kerosene",Non fuel bitumen use
2D3d,6,Decorative paint - retail decorative,Retail decorative coatings
2D3d,6,Decorative paint - trade decorative,Trade decorative coatings
2D3d,6,Film coating,Pulp paper printing and publishing
2D3d,6,Industrial coatings - agricultural and construction,Ace coatings
2D3d,6,Industrial coatings - aircraft,Aircraft coatings
2D3d,6,Industrial coatings - automotive,Automotive coatings
2D3d,6,Industrial coatings - coil coating,Coil coatings
2D3d,6,Industrial coatings - commercial vehicles,Commercial vehicle coatings
2D3d,6,Industrial coatings - drum,Drum coatings
2D3d,6,Industrial coatings - high performance,High performance coatings
2D3d,6,Industrial coatings - marine,Marine coatings
2D3d,6,Industrial coatings - metal and plastic,Metal and plastic coatings
2D3d,6,Industrial coatings - metal packaging,Metal packaging coatings
2D3d,6,Industrial coatings - vehicle refinishing,Vehicle refinishing coatings
2D3d,6,Industrial coatings - wood,Wood coatings
2D3d,6,Leather coating,Leather and leather products
2D3d,6,Paper coating,Solvent use
2D3d,6,Textile coating,Textiles and textile products
2D3e,6,Leather degreasing,Leather and leather products
2D3e,6,Surface cleaning - 111-trichloroethane,Cleaning solvent
2D3e,6,Surface cleaning - dichloromethane,Cleaning solvent
2D3e,6,Surface cleaning - hydrocarbons,Cleaning solvent
2D3e,6,Surface cleaning - oxygenated solvents,Cleaning solvent
2D3e,6,Surface cleaning - tetrachloroethylene,Cleaning solvent
2D3e,6,Surface cleaning - trichloroethylene,Cleaning solvent
2D3f,6,Dry cleaning,Solvent use
2D3g,6,Coating manufacture - adhesives,Solvent used in coating
2D3g,6,Coating manufacture - inks,Pigment
2D3g,6,Coating manufacture - inks,Solvent used in coating
2D3g,6,Coating manufacture - other coatings,Pigment
2D3g,6,Coating manufacture - other coatings,Solvent used in coating
2D3g,6,Foam blowing,Blowing agents
2D3g,6,Industrial adhesives - pressure sensitive tapes,Solvent use
2D3g,6,Other rubber products,Rubber and plastic products
2D3g,6,Tyre manufacture,Rubber and plastic products
2D3h,6,Printing - flexible packaging,Flexible packaging inks
2D3h,6,Printing - heatset web offset,Heatset offset ink
2D3h,6,Printing - metal decorating,Metal decorating inks
2D3h,6,Printing - newspapers,Newspaper inks
2D3h,6,Printing - other flexography,Other flexographic inks
2D3h,6,Printing - other inks,Other inks
2D3h,6,Printing - other offset,Other offset ink
2D3h,6,Printing - overprint varnishes,Overprint varnishes
2D3h,6,Printing - print chemicals,Print chemicals
2D3h,6,Printing - publication gravure,Publication gravure ink
2D3h,6,Printing - screen printing,Screen printing inks
2D3i,6,Industrial adhesives - other,Adhesives and sealants
2D3i,6,Other solvent use,Solvent use
2D3i,6,Seed oil extraction,Oilseeds and nuts
2D3i,6,Wood impregnation - creosote,Creosote
2D3i,6,Wood impregnation - LOSP,Solvent-borne preservative
2G,6,Cigarette smoking,Cigarettes
2G,6,Fireworks,Process emission
2G,6,Road vehicle engines,Lubricants
2G3a,6,N2O use as an anaesthetic,Population
2G3b,6,Other food - cream consumption,Process emission
2G3b,6,Recreational use of N2O,Process emission
2G4,6,Chemical Industry – other process sources,Process emission
2H1,4,Paper production,Process emission
2H2,4,Animal Rendering,Meat fish and poultry
2H2,4,Bread baking,Bread
2H2,4,Brewing - fermentation,Beer
2H2,4,Brewing - wort boiling,Beer
2H2,4,Cider manufacture,Cider
2H2,4,Malting - all,Malt
2H2,4,Other food - animal feed manufacture,Animal feeds
2H2,4,Other food - cakes biscuits and cereals,Cakes and biscuits
2H2,4,Other food - coffee roasting,Coffee
2H2,4,Other food - margarine and other solid fats,Fats
2H2,4,Other food - meat fish and poultry,Meat fish and poultry
2H2,4,Other food - sugar production,Sugar
2H2,4,Spirit manufacture - casking,Whisky
2H2,4,Spirit manufacture - distillation,Spirits
2H2,4,Spirit manufacture - fermentation,Spirits
2H2,4,Spirit manufacture - other maturation,Whisky in storage
2H2,4,Spirit manufacture - Scotch whisky maturation,Whisky in storage
2H2,4,Spirit manufacture - spent grain drying,Grain used in spirits
2H2,4,Sugar beet processing,Process emission
2H2,4,Wine manufacture,Wine
2H3,4,Other industry - part B processes,Process emission
2I,4,Wood products manufacture,Wood product production
3A1a,10,Enteric,Dairy - Dairy Cows
3A1b,10,Enteric,Other cattle - Beef females for slaughter
3A1b,10,Enteric,Other cattle - Bulls for breeding
3A1b,10,Enteric,Other cattle - Cereal fed bull
3A1b,10,Enteric,Other cattle - Cows
3A1b,10,Enteric,Other cattle - Dairy Calves Female
3A1b,10,Enteric,Other cattle - Dairy In Calf Heifers
3A1b,10,Enteric,Other cattle - Dairy Replacements Female
3A1b,10,Enteric,Other cattle - Heifers for breeding
3A1b,10,Enteric,Other cattle - Steers
3A2,10,Enteric,Sheep - Ewe
3A2,10,Enteric,Sheep - Lamb
3A2,10,Enteric,Sheep - Ram
3A3,10,Enteric,Pig - Boar
3A3,10,Enteric,Pig - Fattening Pig < 20 kg
3A3,10,Enteric,Pig - Fattening Pig > 80 kg
3A3,10,Enteric,Pig - Fattening Pig 20 to 80 kg
3A3,10,Enteric,Pig - Gilt
3A3,10,Enteric,Pig - Sow
3A4,10,Enteric,Agricultural Horses
3A4,10,Enteric,Deer
3A4,10,Enteric,Domestic Horses
3A4,10,Enteric,Goats
3A4,10,Enteric,Professional Horses
3B11a,10,Digestate,Dairy - Dairy Cows
3B11a,10,Excreta,Dairy - Dairy Cows
3B11a,10,Managed Manure,Dairy - Dairy Cows
3B11b,10,Digestate,Other cattle - Beef females for slaughter
3B11b,10,Digestate,Other cattle - Bulls for breeding
3B11b,10,Digestate,Other cattle - Cereal fed bull
3B11b,10,Digestate,Other cattle - Cows
3B11b,10,Digestate,Other cattle - Dairy Calves Female
3B11b,10,Digestate,Other cattle - Dairy In Calf Heifers
3B11b,10,Digestate,Other cattle - Dairy Replacements Female
3B11b,10,Digestate,Other cattle - Heifers for breeding
3B11b,10,Digestate,Other cattle - Steers
3B11b,10,Excreta,Other cattle - Beef females for slaughter
3B11b,10,Excreta,Other cattle - Bulls for breeding
3B11b,10,Excreta,Other cattle - Cereal fed bull
3B11b,10,Excreta,Other cattle - Cows
3B11b,10,Excreta,Other cattle - Dairy Calves Female
3B11b,10,Excreta,Other cattle - Dairy In Calf Heifers
3B11b,10,Excreta,Other cattle - Dairy Replacements Female
3B11b,10,Excreta,Other cattle - Heifers for breeding
3B11b,10,Excreta,Other cattle - Steers
3B11b,10,Managed Manure,Other cattle - Beef females for slaughter
3B11b,10,Managed Manure,Other cattle - Bulls for breeding
3B11b,10,Managed Manure,Other cattle - Cereal fed bull
3B11b,10,Managed Manure,Other cattle - Cows
3B11b,10,Managed Manure,Other cattle - Dairy Calves Female
3B11b,10,Managed Manure,Other cattle - Dairy In Calf Heifers
3B11b,10,Managed Manure,Other cattle - Dairy Replacements Female
3B11b,10,Managed Manure,Other cattle - Heifers for breeding
3B11b,10,Managed Manure,Other cattle - Steers
3B12,10,Excreta,Sheep - Ewe
3B12,10,Excreta,Sheep - Lamb
3B12,10,Excreta,Sheep - Ram
3B12,10,Managed Manure,Sheep - Ewe
3B12,10,Managed Manure,Sheep - Lamb
3B12,10,Managed Manure,Sheep - Ram
3B13,10,Digestate,Pig - Boar
3B13,10,Digestate,Pig - Fattening Pig < 20 kg
3B13,10,Digestate,Pig - Fattening Pig > 80 kg
3B13,10,Digestate,Pig - Fattening Pig 20 to 80 kg
3B13,10,Digestate,Pig - Gilt
3B13,10,Digestate,Pig - Sow
3B13,10,Excreta,Pig - Boar
3B13,10,Excreta,Pig - Fattening Pig < 20 kg
3B13,10,Excreta,Pig - Fattening Pig > 80 kg
3B13,10,Excreta,Pig - Fattening Pig 20 to 80 kg
3B13,10,Excreta,Pig - Gilt
3B13,10,Excreta,Pig - Sow
3B13,10,Managed Manure,Pig - Boar
3B13,10,Managed Manure,Pig - Fattening Pig < 20 kg
3B13,10,Managed Manure,Pig - Fattening Pig > 80 kg
3B13,10,Managed Manure,Pig - Fattening Pig 20 to 80 kg
3B13,10,Managed Manure,Pig - Gilt
3B13,10,Managed Manure,Pig - Sow
3B14,10,Digestate,Poultry - Broilers
3B14,10,Digestate,Poultry - Laying Hens
3B14,10,Digestate,Poultry - Other
3B14,10,Digestate,Poultry - Turkeys
3B14,10,Excreta,Agricultural Horses
3B14,10,Excreta,Deer
3B14,10,Excreta,Domestic Horses
3B14,10,Excreta,Goats
3B14,10,Excreta,Poultry - Broilers
3B14,10,Excreta,Poultry - Laying Hens
3B14,10,Excreta,Poultry - Other
3B14,10,Excreta,Poultry - Turkeys
3B14,10,Excreta,Professional Horses
3B14,10,Managed Manure,Agricultural Horses
3B14,10,Managed Manure,Deer
3B14,10,Managed Manure,Domestic Horses
3B14,10,Managed Manure,Goats
3B14,10,Managed Manure,Poultry - Broilers
3B14,10,Managed Manure,Poultry - Laying Hens
3B14,10,Managed Manure,Poultry - Other
3B14,10,Managed Manure,Poultry - Turkeys
3B14,10,Managed Manure,Professional Horses
3B1a,10,Dairy - Dairy Cows,Housing
3B1a,10,Dairy - Dairy Cows,Storage
3B1a,10,Dairy - Dairy Cows,Yarding
3B1a,10,Dairy - Dairy Cows - Digestate Direct,Storage
3B1a,10,Dairy Cows Wastes - Direct,Excreta N managed as manure
3B1a,10,Housing,Dairy - Dairy Cows
3B1a,10,Silage - Housing,Dairy - Dairy Cows
3B1a,10,Silage - Storage,Dairy - Dairy Cows
3B1a,10,Storage,Dairy - Dairy Cows
3B1a,10,Storage,Dairy - Dairy Cows - Digestate
3B1a,10,Wastes - Direct,Dairy - Dairy Cows
3B1a,10,Wastes - Direct,Dairy - Other cattle
3B1a,10,Yarding,Dairy - Dairy Cows
3B1b,10,Housing,Other cattle - Beef females for slaughter
3B1b,10,Housing,Other cattle - Bulls for breeding
3B1b,10,Housing,Other cattle - Cereal fed bull
3B1b,10,Housing,Other cattle - Cows
3B1b,10,Housing,Other cattle - Dairy Calves Female
3B1b,10,Housing,Other cattle - Dairy In Calf Heifers
3B1b,10,Housing,Other cattle - Dairy Replacements Female
3B1b,10,Housing,Other cattle - Heifers for breeding
3B1b,10,Housing,Other cattle - Steers
3B1b,10,Other cattle - Beef females for slaughter,Housing
3B1b,10,Other cattle - Beef females for slaughter,Storage
3B1b,10,Other cattle - Beef females for slaughter,Yarding
3B1b,10,Other cattle - Beef females for slaughter - Digestate Direct,Storage
3B1b,10,Other cattle - Bulls for breeding,Housing
3B1b,10,Other cattle - Bulls for breeding,Storage
3B1b,10,Other cattle - Bulls for breeding,Yarding
3B1b,10,Other cattle - Bulls for breeding - Digestate Direct,Storage
3B1b,10,Other cattle - Cereal fed bull,Housing
3B1b,10,Other cattle - Cereal fed bull,Storage
3B1b,10,Other cattle - Cereal fed bull,Yarding
3B1b,10,Other cattle - Cereal fed bull - Digestate Direct,Storage
3B1b,10,Other cattle - Cows,Housing
3B1b,10,Other cattle - Cows,Storage
3B1b,10,Other cattle - Cows,Yarding
3B1b,10,Other cattle - Cows - Digestate Direct,Storage
3B1b,10,Other cattle - Dairy Calves Female,Housing
3B1b,10,Other cattle - Dairy Calves Female,Storage
3B1b,10,Other cattle - Dairy Calves Female,Yarding
3B1b,10,Other cattle - Dairy Calves Female - Digestate Direct,Storage
3B1b,10,Other cattle - Dairy In Calf Heifers,Housing
3B1b,10,Other cattle - Dairy In Calf Heifers,Storage
3B1b,10,Other cattle - Dairy In Calf Heifers,Yarding
3B1b,10,Other cattle - Dairy In Calf Heifers - Digestate Direct,Storage
3B1b,10,Other cattle - Dairy Replacements Female,Housing
3B1b,10,Other cattle - Dairy Replacements Female,Storage
3B1b,10,Other cattle - Dairy Replacements Female,Yarding
3B1b,10,Other cattle - Dairy Replacements Female - Digestate Direct,Storage
3B1b,10,Other cattle - Heifers for breeding,Housing
3B1b,10,Other cattle - Heifers for breeding,Storage
3B1b,10,Other cattle - Heifers for breeding,Yarding
3B1b,10,Other cattle - Heifers for breeding - Digestate Direct,Storage
3B1b,10,Other cattle - Steers,Housing
3B1b,10,Other cattle - Steers,Storage
3B1b,10,Other cattle - Steers,Yarding
3B1b,10,Other cattle - Steers - Digestate Direct,Storage
3B1b,10,Other Cattle Wastes - Direct,Excreta N managed as manure
3B1b,10,Silage - Housing,Other cattle - Beef females for slaughter
3B1b,10,Silage - Housing,Other cattle - Bulls for breeding
3B1b,10,Silage - Housing,Other cattle - Cereal fed bull
3B1b,10,Silage - Housing,Other cattle - Cows
3B1b,10,Silage - Housing,Other cattle - Dairy Calves Female
3B1b,10,Silage - Housing,Other cattle - Dairy In Calf Heifers
3B1b,10,Silage - Housing,Other cattle - Dairy Replacements Female
3B1b,10,Silage - Housing,Other cattle - Heifers for breeding
3B1b,10,Silage - Housing,Other cattle - Steers
3B1b,10,Silage - Storage,Other cattle - Beef females for slaughter
3B1b,10,Silage - Storage,Other cattle - Bulls for breeding
3B1b,10,Silage - Storage,Other cattle - Cereal fed bull
3B1b,10,Silage - Storage,Other cattle - Cows
3B1b,10,Silage - Storage,Other cattle - Dairy Calves Female
3B1b,10,Silage - Storage,Other cattle - Dairy In Calf Heifers
3B1b,10,Silage - Storage,Other cattle - Dairy Replacements Female
3B1b,10,Silage - Storage,Other cattle - Heifers for breeding
3B1b,10,Silage - Storage,Other cattle - Steers
3B1b,10,Storage,Other cattle - Beef females for slaughter
3B1b,10,Storage,Other cattle - Beef females for slaughter - Digestate
3B1b,10,Storage,Other cattle - Bulls for breeding
3B1b,10,Storage,Other cattle - Bulls for breeding - Digestate
3B1b,10,Storage,Other cattle - Cereal fed bull
3B1b,10,Storage,Other cattle - Cereal fed bull - Digestate
3B1b,10,Storage,Other cattle - Cows
3B1b,10,Storage,Other cattle - Cows - Digestate
3B1b,10,Storage,Other cattle - Dairy Calves Female
3B1b,10,Storage,Other cattle - Dairy Calves Female - Digestate
3B1b,10,Storage,Other cattle - Dairy In Calf Heifers
3B1b,10,Storage,Other cattle - Dairy In Calf Heifers - Digestate
3B1b,10,Storage,Other cattle - Dairy Replacements Female
3B1b,10,Storage,Other cattle - Dairy Replacements Female - Digestate
3B1b,10,Storage,Other cattle - Heifers for breeding
3B1b,10,Storage,Other cattle - Heifers for breeding - Digestate
3B1b,10,Storage,Other cattle - Steers
3B1b,10,Storage,Other cattle - Steers - Digestate
3B1b,10,Wastes - Direct,Other cattle
3B1b,10,Yarding,Other cattle - Dairy Calves Female
3B1b,10,Yarding,Other cattle - Dairy In Calf Heifers
3B1b,10,Yarding,Other cattle - Dairy Replacements Female
3B2,10,Housing,Sheep - Ewe
3B2,10,Housing,Sheep - Lamb
3B2,10,Housing,Sheep - Ram
3B2,10,Sheep - Ewe,Housing
3B2,10,Sheep - Ewe,Storage
3B2,10,Sheep - Ewe,Yarding
3B2,10,Sheep - Lamb,Housing
3B2,10,Sheep - Lamb,Storage
3B2,10,Sheep - Lamb,Yarding
3B2,10,Sheep - Ram,Housing
3B2,10,Sheep - Ram,Storage
3B2,10,Sheep - Ram,Yarding
3B2,10,Sheep Wastes - Direct,Excreta N managed as manure
3B2,10,Silage - Housing,Sheep - Ewe
3B2,10,Silage - Housing,Sheep - Lamb
3B2,10,Silage - Housing,Sheep - Ram
3B2,10,Silage - Storage,Sheep - Ewe
3B2,10,Silage - Storage,Sheep - Lamb
3B2,10,Silage - Storage,Sheep - Ram
3B2,10,Storage,Sheep - Ewe
3B2,10,Storage,Sheep - Lamb
3B2,10,Storage,Sheep - Ram
3B2,10,Wastes - Direct,Sheep
3B2,10,Yarding,Sheep - Ewe
3B2,10,Yarding,Sheep - Lamb
3B2,10,Yarding,Sheep - Ram
3B21a,10,Dairy - Dairy Cows - Direct,Housing
3B21a,10,Dairy - Dairy Cows - Direct,Storage
3B21a,10,Dairy - Dairy Cows - Direct,Yarding
3B21b,10,Other cattle - Beef females for slaughter - Direct,Housing
3B21b,10,Other cattle - Beef females for slaughter - Direct,Storage
3B21b,10,Other cattle - Beef females for slaughter - Direct,Yarding
3B21b,10,Other cattle - Bulls for breeding - Direct,Housing
3B21b,10,Other cattle - Bulls for breeding - Direct,Storage
3B21b,10,Other cattle - Bulls for breeding - Direct,Yarding
3B21b,10,Other cattle - Cereal fed bull - Direct,Housing
3B21b,10,Other cattle - Cereal fed bull - Direct,Storage
3B21b,10,Other cattle - Cereal fed bull - Direct,Yarding
3B21b,10,Other cattle - Cows - Direct,Housing
3B21b,10,Other cattle - Cows - Direct,Storage
3B21b,10,Other cattle - Cows - Direct,Yarding
3B21b,10,Other cattle - Dairy Calves Female - Direct,Housing
3B21b,10,Other cattle - Dairy Calves Female - Direct,Storage
3B21b,10,Other cattle - Dairy Calves Female - Direct,Yarding
3B21b,10,Other cattle - Dairy In Calf Heifers - Direct,Housing
3B21b,10,Other cattle - Dairy In Calf Heifers - Direct,Storage
3B21b,10,Other cattle - Dairy In Calf Heifers - Direct,Yarding
3B21b,10,Other cattle - Dairy Replacements Female - Direct,Housing
3B21b,10,Other cattle - Dairy Replacements Female - Direct,Storage
3B21b,10,Other cattle - Dairy Replacements Female - Direct,Yarding
3B21b,10,Other cattle - Heifers for breeding - Direct,Housing
3B21b,10,Other cattle - Heifers for breeding - Direct,Storage
3B21b,10,Other cattle - Heifers for breeding - Direct,Yarding
3B21b,10,Other cattle - Steers - Direct,Housing
3B21b,10,Other cattle - Steers - Direct,Storage
3B21b,10,Other cattle - Steers - Direct,Yarding
3B22,10,Sheep - Ewe - Direct,Housing
3B22,10,Sheep - Ewe - Direct,Storage
3B22,10,Sheep - Ewe - Direct,Yarding
3B22,10,Sheep - Lamb - Direct,Housing
3B22,10,Sheep - Lamb - Direct,Storage
3B22,10,Sheep - Lamb - Direct,Yarding
3B22,10,Sheep - Ram - Direct,Housing
3B22,10,Sheep - Ram - Direct,Storage
3B22,10,Sheep - Ram - Direct,Yarding
3B23,10,Pig - Boar - Digestate Direct,Storage
3B23,10,Pig - Boar - Direct,Housing
3B23,10,Pig - Boar - Direct,Storage
3B23,10,Pig - Boar - Direct,Yarding
3B23,10,Pig - Fattening Pig < 20 kg - Digestate Direct,Storage
3B23,10,Pig - Fattening Pig < 20 kg - Direct,Housing
3B23,10,Pig - Fattening Pig < 20 kg - Direct,Storage
3B23,10,Pig - Fattening Pig < 20 kg - Direct,Yarding
3B23,10,Pig - Fattening Pig > 80 kg - Digestate Direct,Storage
3B23,10,Pig - Fattening Pig > 80 kg - Direct,Housing
3B23,10,Pig - Fattening Pig > 80 kg - Direct,Storage
3B23,10,Pig - Fattening Pig > 80 kg - Direct,Yarding
3B23,10,Pig - Fattening Pig 20 to 80 kg - Digestate Direct,Storage
3B23,10,Pig - Fattening Pig 20 to 80 kg - Direct,Housing
3B23,10,Pig - Fattening Pig 20 to 80 kg - Direct,Storage
3B23,10,Pig - Fattening Pig 20 to 80 kg - Direct,Yarding
3B23,10,Pig - Gilt - Digestate Direct,Storage
3B23,10,Pig - Gilt - Direct,Housing
3B23,10,Pig - Gilt - Direct,Storage
3B23,10,Pig - Gilt - Direct,Yarding
3B23,10,Pig - Sow - Digestate Direct,Storage
3B23,10,Pig - Sow - Direct,Housing
3B23,10,Pig - Sow - Direct,Storage
3B23,10,Pig - Sow - Direct,Yarding
3B24,10,Agricultural Horses - Direct,Housing
3B24,10,Agricultural Horses - Direct,Storage
3B24,10,Agricultural Horses - Direct,Yarding
3B24,10,Deer - Direct,Housing
3B24,10,Deer - Direct,Storage
3B24,10,Deer - Direct,Yarding
3B24,10,Domestic Horses - Direct,Housing
3B24,10,Domestic Horses - Direct,Storage
3B24,10,Domestic Horses - Direct,Yarding
3B24,10,Enteric,Poultry - Broilers
3B24,10,Enteric,Poultry - Laying Hens
3B24,10,Enteric,Poultry - Other
3B24,10,Enteric,Poultry - Turkeys
3B24,10,Goats - Direct,Housing
3B24,10,Goats - Direct,Storage
3B24,10,Goats - Direct,Yarding
3B24,10,Poultry - Broilers - Digestate Direct,Storage
3B24,10,Poultry - Broilers - Direct,Housing
3B24,10,Poultry - Broilers - Direct,Storage
3B24,10,Poultry - Broilers - Direct,Yarding
3B24,10,Poultry - Laying Hens - Digestate Direct,Storage
3B24,10,Poultry - Laying Hens - Direct,Housing
3B24,10,Poultry - Laying Hens - Direct,Storage
3B24,10,Poultry - Laying Hens - Direct,Yarding
3B24,10,Poultry - Other - Direct,Housing
3B24,10,Poultry - Other - Direct,Storage
3B24,10,Poultry - Other - Direct,Yarding
3B24,10,Poultry - Other Poultry - Digestate Direct,Storage
3B24,10,Poultry - Turkeys - Digestate Direct,Storage
3B24,10,Poultry - Turkeys - Direct,Housing
3B24,10,Poultry - Turkeys - Direct,Storage
3B24,10,Poultry - Turkeys - Direct,Yarding
3B24,10,Professional Horses - Direct,Housing
3B24,10,Professional Horses - Direct,Storage
3B24,10,Professional Horses - Direct,Yarding
3B25,10,Agricultural Horses - Indirect Deposition,Housing
3B25,10,Agricultural Horses - Indirect Deposition,Storage
3B25,10,Agricultural Horses - Indirect Deposition,Yarding
3B25,10,Agricultural Horses - Indirect Leach,Housing
3B25,10,Agricultural Horses - Indirect Leach,Storage
3B25,10,Agricultural Horses - Indirect Leach,Yarding
3B25,10,Dairy - Dairy Cows - Digestate Indirect Deposition,Storage
3B25,10,Dairy - Dairy Cows - Digestate Indirect Leach,Storage
3B25,10,Dairy - Dairy Cows - Indirect Deposition,Housing
3B25,10,Dairy - Dairy Cows - Indirect Deposition,Storage
3B25,10,Dairy - Dairy Cows - Indirect Deposition,Yarding
3B25,10,Dairy - Dairy Cows - Indirect Leach,Housing
3B25,10,Dairy - Dairy Cows - Indirect Leach,Storage
3B25,10,Dairy - Dairy Cows - Indirect Leach,Yarding
3B25,10,Deer - Indirect Deposition,Housing
3B25,10,Deer - Indirect Deposition,Storage
3B25,10,Deer - Indirect Deposition,Yarding
3B25,10,Deer - Indirect Leach,Housing
3B25,10,Deer - Indirect Leach,Storage
3B25,10,Deer - Indirect Leach,Yarding
3B25,10,Domestic Horses - Indirect Deposition,Housing
3B25,10,Domestic Horses - Indirect Deposition,Storage
3B25,10,Domestic Horses - Indirect Deposition,Yarding
3B25,10,Domestic Horses - Indirect Leach,Housing
3B25,10,Domestic Horses - Indirect Leach,Storage
3B25,10,Domestic Horses - Indirect Leach,Yarding
3B25,10,Goats - Indirect Deposition,Housing
3B25,10,Goats - Indirect Deposition,Storage
